name	archived	forks	watchers	license	html_url	homepage
jiva-mono	0	0	2	ofl-1.1	https://github.com/planetabhi/jiva-mono	https://jivamono.netlify.app/
x5	0	0	1		https://github.com/acjbizar/x5	https://x5.acjs.net/
Oxys	0	0	1		https://github.com/lsigesn/Oxys	
wasopixel	0	0	1	other	https://github.com/waso-mu/wasopixel	
OpenBitmap	0	0	0		https://github.com/AWikia/OpenBitmap	
BadesenCP1252	0	0	0	ofl-1.1	https://github.com/FelipeRT98/BadesenCP1252	
Dazy-Spell-Sans-Font	0	0	0		https://github.com/Rajat-/Dazy-Spell-Sans-Font	
Kogin-Font	0	0	0	other	https://github.com/Rikuto13ten/Kogin-Font	
mulmaru	0	0	0	ofl-1.1	https://github.com/hannansaleem110/mulmaru	
fixed-9x18	0	0	0	other	https://github.com/pok49/fixed-9x18	
chiptune	0	0	0	mit	https://github.com/soywig/chiptune	
lin-marn-bitmap-font 【網墨倉字】	0	0	0		https://github.com/sozysozbot/lin-marn-bitmap-font	
